id,x,y,weight,class
0,431.6926,542.99963,357.88608,0.0
1,547.58246,134.36327,432.3903,0.0
2,598.92914,366.70462,518.9421,0.0
3,201.78656,346.8383,462.1031,0.0
4,436.05133,61.23183,462.547,0.0
5,648.38196,303.07617,375.25955,0.0
6,452.85815,476.9274,543.6008,0.0
7,593.59106,204.11412,414.656,0.0
8,326.34448,97.642555,516.97253,0.0
9,569.83716,146.00912,474.76666,0.0
10,343.3489,495.727,476.61682,0.0
11,336.9973,483.43387,419.29755,0.0
12,391.9563,518.7444,482.2054,0.0
13,403.71445,63.342842,135.52432,0.0
14,449.9846,543.3811,479.31467,0.0
15,620.1244,259.34073,445.43088,0.0
16,596.51184,392.57724,444.53473,0.0
17,589.79474,146.30334,429.8002,0.0
18,505.14557,454.4343,336.9671,0.0
19,170.23769,352.51715,496.02026,0.0
20,275.09528,512.22327,368.80637,0.0
21,544.40283,482.3085,395.52237,0.0
22,250.54936,180.33826,462.61588,0.0
23,575.625,168.33723,431.49557,0.0
24,505.35828,105.89962,480.2428,0.0
25,236.48822,151.40384,362.33765,0.0
26,607.8882,323.24396,514.2435,0.0
27,631.0962,338.4215,478.59003,0.0
28,301.1632,529.5812,442.72275,0.0
29,279.73926,510.01242,469.38208,0.0
30,473.15552,91.672005,543.9676,0.0
31,514.2425,116.507286,466.88934,0.0
32,291.59784,140.3706,503.57806,0.0
33,201.93083,258.21576,404.6487,0.0
34,634.69727,289.6087,473.32892,0.0
35,572.45667,387.19577,391.19733,0.0
36,415.6128,108.639015,346.35684,0.0
37,617.90796,218.39218,431.04602,0.0
38,602.30963,167.11832,506.07397,0.0
39,353.6751,51.811558,393.722,0.0
40,611.81744,315.69345,392.03464,0.0
41,527.0548,171.24686,421.67847,0.0
42,221.75269,385.57452,544.3131,0.0
43,572.2091,411.40997,447.7665,0.0
44,417.32425,82.64892,545.2615,0.0
45,371.95636,78.6076,474.45865,0.0
46,492.60538,76.36732,518.8529,0.0
47,296.7017,108.407845,417.52673,0.0
48,269.80148,103.421875,533.98975,0.0
49,210.36368,347.11023,395.85764,0.0
50,212.29861,135.29218,429.47165,0.0
51,527.59045,110.471596,283.1835,0.0
52,424.27066,527.5626,322.7208,0.0
53,300.42532,84.35959,441.4155,0.0
54,207.84174,420.25443,509.06976,0.0
55,441.62247,528.72473,423.11813,0.0
56,560.6787,179.13614,355.7897,0.0
57,189.13872,445.9345,461.33014,0.0
58,505.41434,122.82041,349.23813,0.0
59,620.4795,242.64566,456.54333,0.0
60,645.1881,307.28006,304.61255,0.0
61,230.36798,205.70302,421.43048,0.0
62,332.41962,77.77748,388.05353,0.0
63,625.7369,287.3902,471.3688,0.0
64,505.89267,121.89887,473.15158,0.0
65,150.0,256.23114,507.987,0.0
66,489.1826,133.178,491.03073,0.0
67,517.2745,81.03702,485.45468,0.0
68,588.27844,302.7829,271.3692,0.0
69,220.97331,209.18501,507.14304,0.0
70,161.30838,272.11765,489.1193,0.0
71,267.133,137.18567,499.4811,0.0
72,196.24765,453.83014,471.94,0.0
73,277.56528,128.63754,529.8391,0.0
74,390.47382,499.4026,291.04694,0.0
75,475.70575,474.6104,454.435,0.0
76,577.30676,203.50374,501.5199,0.0
77,572.7622,218.39471,519.1913,0.0
78,579.5373,249.55603,448.33307,0.0
79,568.76215,220.77316,454.7139,0.0
80,295.56293,150.54431,501.306,0.0
81,191.86856,149.70892,508.60345,0.0
82,552.2232,485.8454,502.8106,0.0
83,357.82166,63.397507,417.76917,0.0
84,527.4978,495.03455,351.47855,0.0
85,340.31653,125.46733,384.03928,0.0
86,633.6987,343.13913,192.5326,0.0
87,277.19894,138.48654,483.13394,0.0
88,585.096,436.74646,471.02954,0.0
89,158.55447,239.38885,397.4541,0.0
90,247.43307,489.7333,471.3639,0.0
91,193.9775,358.2231,521.8867,0.0
92,575.103,319.50443,405.07016,0.0
93,383.95398,50.0,522.3154,0.0
94,324.85764,79.6815,530.7366,0.0
95,601.1738,404.26462,504.18024,0.0
96,208.5928,435.58008,477.57724,0.0
97,644.7525,292.3261,543.9479,0.0
98,575.72546,469.44058,469.4804,0.0
99,168.80061,303.26855,532.70013,0.0
100,606.4115,286.96838,419.29953,0.0
101,233.99176,411.31958,527.2474,0.0
102,185.68892,268.3118,310.04013,0.0
103,371.50616,534.9065,485.06134,0.0
104,566.13135,394.00098,462.96658,0.0
105,376.00104,96.418396,355.51083,0.0
106,222.78804,416.18365,495.94617,0.0
107,283.0492,472.90924,547.0601,0.0
108,213.1091,407.10068,421.0372,0.0
109,575.1328,168.52428,478.4333,0.0
110,170.57571,183.21423,473.88898,0.0
111,414.01166,491.26324,384.41837,0.0
112,580.51605,187.33961,514.15546,0.0
113,249.00452,502.56024,539.06995,0.0
114,635.31396,354.96277,458.42493,0.0
115,201.44003,404.63025,540.4302,0.0
116,575.4552,236.77156,529.3485,0.0
117,526.7264,166.2157,466.21515,0.0
118,162.62238,326.9932,513.2937,0.0
119,577.9588,252.13435,454.7253,0.0
120,613.72974,172.58347,499.41406,0.0
121,336.64026,522.17944,467.97873,0.0
122,584.3662,464.59436,544.8821,0.0
123,412.84305,490.30493,478.3641,0.0
124,173.74121,281.1402,389.29633,0.0
125,334.7779,505.6212,383.88788,0.0
126,314.86243,514.0863,464.59225,0.0
127,618.81177,199.23177,525.2291,0.0
128,430.36203,57.64865,444.64008,0.0
129,267.64288,510.85828,460.61578,0.0
130,352.30524,520.9637,490.03275,0.0
131,151.91795,235.48257,299.74158,0.0
132,203.43155,241.02252,436.84436,0.0
133,246.94652,498.9266,393.19336,0.0
134,303.94455,83.559944,503.4109,0.0
135,201.18402,239.77272,536.8757,0.0
136,363.0514,506.70667,497.67007,0.0
137,604.3634,191.76173,419.91748,0.0
138,389.72357,523.8943,356.58752,0.0
139,566.2671,405.18826,471.61963,0.0
140,509.2841,151.27985,406.39627,0.0
141,196.59277,436.56363,346.90833,0.0
142,638.8345,282.0857,498.12366,0.0
143,579.0055,344.57385,454.2517,0.0
144,272.02014,443.72055,494.0483,0.0
145,496.81757,86.324554,534.10876,0.0
146,175.94916,250.12242,520.86743,0.0
147,244.19829,459.06512,395.82437,0.0
148,604.5586,273.30872,484.83005,0.0
149,260.88403,152.20349,444.1432,0.0
150,219.95493,235.5494,480.39948,0.0
151,560.28125,110.17841,541.0251,0.0
152,449.03223,122.82565,283.31424,0.0
153,387.08838,511.1073,472.84076,0.0
154,348.73874,82.70566,462.0272,0.0
155,162.47386,249.49005,425.29767,0.0
156,211.25902,457.0371,241.29715,0.0
157,221.71307,137.95276,509.30737,0.0
158,339.5564,114.60852,430.49118,0.0
159,634.21497,362.61392,476.37387,0.0
160,540.2416,152.77933,522.1378,0.0
161,618.99005,397.85168,334.59735,0.0
162,431.64072,67.806595,502.05374,0.0
163,527.1044,174.65771,535.8091,0.0
164,515.4496,455.42728,486.071,0.0
165,549.87665,491.0016,408.5283,0.0
166,533.3915,143.21193,487.45547,0.0
167,599.64484,423.7514,325.40582,0.0
168,205.96762,351.52847,538.1508,0.0
169,605.88245,360.36346,436.61697,0.0
170,394.37256,536.1843,489.13376,0.0
171,303.5655,483.9645,549.61145,0.0
172,247.75543,149.93484,498.81186,0.0
173,195.80917,174.32672,477.0112,0.0
174,296.57892,487.85974,473.00452,0.0
175,209.01996,404.81204,256.94052,0.0
176,592.2898,426.4267,280.46393,0.0
177,200.42587,259.85068,438.7259,0.0
178,528.2629,163.94495,519.9303,0.0
179,623.5077,384.13766,296.94928,0.0
180,584.5967,415.86108,405.51718,0.0
181,572.1511,142.0172,435.34537,0.0
182,152.4597,297.68753,527.05066,0.0
183,477.18777,113.21834,269.6858,0.0
184,260.53384,466.88824,444.92636,0.0
185,407.3108,498.5914,476.53842,0.0
186,152.84583,318.30255,317.24985,0.0
187,254.15717,108.777725,468.8169,0.0
188,553.3675,448.34814,470.964,0.0
189,493.24878,111.89856,489.05734,0.0
190,245.02856,161.88226,531.44006,0.0
191,383.5855,83.65347,408.10226,0.0
192,198.91101,209.65785,469.1334,0.0
193,407.2423,501.5914,445.82605,0.0
194,498.0041,512.5122,468.9713,0.0
195,281.35852,96.61804,371.47662,0.0
196,351.471,101.9245,277.59143,0.0
197,576.451,188.07507,521.20703,0.0
198,574.4977,225.08601,509.15192,0.0
199,237.24211,142.427,494.12958,0.0
200,563.3039,464.56598,497.6004,0.0
201,290.9226,104.19841,459.40054,0.0
202,441.3198,487.92807,370.78574,0.0
203,305.06335,95.17322,498.73978,0.0
204,248.8877,470.59015,463.66705,0.0
205,404.92786,513.89087,387.50583,0.0
206,410.662,117.98364,394.54822,0.0
207,308.27414,91.88216,452.69775,0.0
208,503.1689,456.61154,535.33484,0.0
209,575.20483,273.57016,526.49365,0.0
210,211.50229,259.32043,471.60797,0.0
211,389.985,111.215546,326.17688,0.0
212,425.09256,82.07835,469.5567,0.0
213,422.28394,513.3602,514.88257,0.0
214,471.7504,129.24176,463.40936,0.0
215,579.683,293.5923,484.3815,0.0
216,230.3807,203.83273,444.73938,0.0
217,223.81067,213.28633,508.76733,0.0
218,473.7568,100.33676,386.25082,0.0
219,362.49158,56.032555,535.1072,0.0
220,631.4441,223.65588,355.52267,0.0
221,565.77344,478.06857,391.00488,0.0
222,348.66406,542.4249,498.2839,0.0
223,488.3041,78.54875,197.73296,0.0
224,582.94183,259.78845,242.53595,0.0
225,488.9895,516.26984,542.761,0.0
226,476.165,76.90637,464.84662,0.0
227,599.8032,254.39711,456.45312,0.0
228,520.5944,103.42398,376.88022,0.0
229,362.02972,102.22504,511.4775,0.0
230,280.4936,448.05396,501.98163,0.0
231,188.54749,410.85617,541.6386,0.0
232,167.0835,275.56,511.79022,0.0
233,574.7523,362.64127,432.84067,0.0
234,615.41016,339.0066,447.85724,0.0
235,640.5488,299.45892,368.14563,0.0
236,552.7536,106.865295,445.13034,0.0
237,581.76355,204.17844,382.94934,0.0
238,550.2274,144.33206,504.70645,0.0
239,339.76233,105.05899,538.9132,0.0
240,208.25192,359.127,477.24957,0.0
241,553.3165,152.17407,353.10376,0.0
242,619.75946,328.07474,518.19763,0.0
243,471.5244,489.99915,513.75745,0.0
244,622.891,284.04037,364.96964,0.0
245,247.63126,111.281746,516.006,0.0
246,197.14864,334.93185,543.0873,0.0
247,631.9957,363.23587,517.8706,0.0
248,400.2068,549.9559,416.87576,0.0
249,517.3248,482.6027,472.58282,0.0
250,203.46832,315.06973,517.9514,0.0
251,157.31967,385.06363,493.30664,0.0
252,373.95355,101.29508,487.59875,0.0
253,576.3534,450.74603,426.80536,0.0
254,578.7169,132.80286,494.88953,0.0
255,163.46962,211.26326,302.46573,0.0
256,363.31885,493.64963,371.8937,0.0
257,177.86711,271.46448,518.7766,0.0
258,554.52454,170.71622,443.14438,0.0
259,509.0921,498.29407,486.5349,0.0
260,603.7184,394.38397,498.80228,0.0
261,530.6701,506.86423,388.57254,0.0
262,159.30836,283.17316,448.3466,0.0
263,636.6238,288.0529,478.29,0.0
264,488.0843,465.40558,505.53882,0.0
265,150.09052,280.68,486.15244,0.0
266,551.52026,151.79472,518.4359,0.0
267,330.61676,89.47586,510.77448,0.0
268,575.1681,269.10095,291.66345,0.0
269,610.06635,406.3872,313.22412,0.0
270,216.88986,133.12965,460.62674,0.0
271,459.6245,127.85787,436.73813,0.0
272,591.92773,386.49942,399.9632,0.0
273,280.5124,122.0712,501.59543,0.0
274,231.48114,430.34192,50.0,0.0
275,561.8329,433.0687,433.3838,0.0
276,532.6503,118.01622,392.72217,0.0
277,353.39578,107.64917,433.15735,0.0
278,422.03784,98.28143,473.79932,0.0
279,457.6903,474.8973,468.39447,0.0
280,594.1979,389.6297,493.0052,0.0
281,581.9008,328.5039,339.55334,0.0
282,340.8864,481.58658,416.09793,0.0
283,226.6961,142.62454,469.22684,0.0
284,286.87308,156.43396,488.3663,0.0
285,611.5332,221.47972,293.51514,0.0
286,201.0256,233.50688,495.79404,0.0
287,504.20752,161.75407,472.2714,0.0
288,496.3744,476.24228,354.97922,0.0
289,334.52826,110.94024,356.86273,0.0
290,184.59981,173.79395,469.8875,0.0
291,532.59515,138.28586,480.87045,0.0
292,573.516,137.83295,394.53055,0.0
293,193.28018,329.61572,474.94266,0.0
294,497.70114,138.25958,465.52655,0.0
295,603.0819,351.26715,393.55576,0.0
296,215.37216,217.20616,484.92035,0.0
297,601.1498,388.6218,295.32086,0.0
298,405.80118,511.74725,474.20297,0.0
299,290.3352,102.25236,503.64786,0.0
300,597.06067,441.2627,501.0805,0.0
301,255.27512,467.6668,509.06628,0.0
302,393.7018,513.7311,454.1599,0.0
303,356.73273,549.70264,466.45642,0.0
304,283.92484,517.6295,329.56302,0.0
305,246.37227,122.14054,520.2661,0.0
306,587.58545,341.60498,528.95215,0.0
307,401.8357,518.7318,202.29428,0.0
308,414.34048,489.5883,543.948,0.0
309,198.94357,256.8308,529.1477,0.0
310,521.94226,433.2463,514.2449,0.0
311,256.33932,112.732864,376.26227,0.0
312,287.7151,125.627045,446.79022,0.0
313,184.3339,161.92114,524.9595,0.0
314,177.3749,206.28284,349.84064,0.0
315,559.6306,112.653015,383.8618,0.0
316,257.028,487.01282,412.25665,0.0
317,332.35852,474.44757,355.8184,0.0
318,517.1552,112.80748,417.4065,0.0
319,171.26172,247.83003,241.37566,0.0
320,632.55585,232.1439,457.60486,0.0
321,324.77206,62.091362,424.2024,0.0
322,620.71277,255.03471,424.8168,0.0
323,367.28815,512.3756,289.26025,0.0
324,211.25052,211.85631,444.42285,0.0
325,600.4158,209.26738,369.28906,0.0
326,279.1742,149.7583,365.85205,0.0
327,568.9121,445.38498,460.35812,0.0
328,335.5769,533.11804,509.61182,0.0
329,433.63773,544.7135,419.06345,0.0
330,571.1752,396.92065,481.82214,0.0
331,469.28122,66.678055,525.4945,0.0
332,281.30432,458.59122,512.27014,0.0
333,221.58151,160.56668,439.26132,0.0
334,636.16833,350.13797,505.31525,0.0
335,298.59082,128.39587,520.1925,0.0
336,570.10443,472.6749,483.45242,0.0
337,605.8231,399.40897,430.94965,0.0
338,435.86008,522.0397,395.5328,0.0
339,590.0083,241.4732,438.51166,0.0
340,192.22218,418.64352,249.6085,0.0
341,499.5423,522.088,469.48053,0.0
342,173.45691,297.87177,405.65625,0.0
343,636.13153,293.06848,539.05505,0.0
344,556.9785,408.7609,478.0477,0.0
345,349.58374,58.75302,337.5939,0.0
346,181.45128,400.74866,521.6244,0.0
347,229.45992,219.85583,472.51187,0.0
348,610.96027,304.43945,480.71884,0.0
349,624.56714,354.1436,473.72855,0.0
350,549.1299,125.64701,521.1222,0.0
351,578.22046,348.8016,540.1564,0.0
352,263.95776,173.0416,524.33435,0.0
353,531.07043,439.17273,451.3907,0.0
354,176.26881,284.2436,502.35638,0.0
355,618.9278,190.5836,437.78815,0.0
356,233.63531,149.3464,477.57587,0.0
357,499.61627,158.61118,528.48444,0.0
358,610.14984,273.87488,454.89673,0.0
359,601.71277,217.63196,396.14816,0.0
360,524.05493,86.44434,408.67795,0.0
361,582.36194,195.02097,404.34732,0.0
362,621.2998,318.39648,493.90656,0.0
363,507.55136,511.01382,512.50574,0.0
364,384.00732,510.98645,411.02963,0.0
365,459.60614,473.65317,364.471,0.0
366,599.21484,184.5708,494.65356,0.0
367,159.34656,265.8928,351.5002,0.0
368,217.48392,143.32541,440.39093,0.0
369,319.3228,135.80074,417.78482,0.0
370,266.37854,131.65436,543.97046,0.0
371,624.28705,283.27728,519.528,0.0
372,411.67444,51.82837,399.32474,0.0
373,555.62775,491.03836,464.9491,0.0
374,588.83295,280.79218,296.94052,0.0
375,330.83643,129.93002,444.3234,0.0
376,404.41815,83.317215,539.74475,0.0
377,371.12906,544.79755,336.90393,0.0
378,243.49107,167.44724,550.0,0.0
379,333.20773,104.68176,489.1302,0.0
380,384.8878,497.94412,390.32724,0.0
381,592.5628,181.09271,439.3636,0.0
382,223.40897,464.7793,432.59937,0.0
383,516.3447,437.21512,443.12537,0.0
384,465.77814,64.774025,535.1144,0.0
385,165.5149,264.37064,519.34717,0.0
386,433.3144,508.54553,464.34665,0.0
387,518.99396,160.84619,508.83472,0.0
388,296.6878,525.1227,521.72595,0.0
389,247.33691,138.45082,305.59863,0.0
390,643.93915,347.77518,471.19366,0.0
391,425.91196,69.65701,455.80832,0.0
392,371.334,497.86426,299.19214,0.0
393,430.37845,502.40155,483.60712,0.0
394,571.4878,387.12085,464.93176,0.0
395,478.90292,147.42032,530.82935,0.0
396,170.71858,354.0058,549.93506,0.0
397,219.63953,135.12299,528.3708,0.0
398,242.43591,119.0071,270.45068,0.0
399,631.3479,390.89044,517.3734,0.0
400,267.18845,497.8191,418.30118,0.0
401,499.0856,448.4806,371.46652,0.0
402,209.87144,170.24127,536.99994,0.0
403,549.44666,419.3507,172.02982,0.0
404,579.8739,300.8778,483.44867,0.0
405,240.10492,470.61115,446.59082,0.0
406,589.48645,182.402,495.18198,0.0
407,214.59566,201.31033,494.29016,0.0
408,401.88007,121.03618,523.54065,0.0
409,585.5825,173.89484,463.8278,0.0
410,264.51108,136.50266,499.6368,0.0
411,201.42307,341.8807,473.3947,0.0
412,427.5657,120.0621,510.23047,0.0
413,631.88684,305.841,366.54578,0.0
414,512.1343,109.63202,485.4596,0.0
415,432.46417,530.7307,519.11206,0.0
416,357.57755,532.4403,491.02142,0.0
417,302.48813,106.94095,394.37613,0.0
418,592.31244,420.02744,526.505,0.0
419,167.9067,412.43344,447.67148,0.0
420,432.11932,120.82181,383.12592,0.0
421,176.16696,342.81262,485.68176,0.0
422,355.1191,102.02223,371.47952,0.0
423,172.48096,378.58228,447.1853,0.0
424,266.7285,455.86865,481.2661,0.0
425,207.11613,189.65251,446.19974,0.0
426,538.6376,479.7582,509.46573,0.0
427,611.48224,316.8944,314.666,0.0
428,309.65973,511.66003,513.27783,0.0
429,287.59924,486.2605,524.5012,0.0
430,182.0793,267.76938,357.5825,0.0
431,308.16437,537.24976,531.2307,0.0
432,351.13806,93.03697,513.2827,0.0
433,186.31833,257.04047,466.38412,0.0
434,485.7315,87.061165,518.1874,0.0
435,511.70157,493.2713,303.47357,0.0
436,306.98346,113.13428,491.3294,0.0
437,599.0055,427.26944,489.273,0.0
438,542.8738,461.51657,299.7672,0.0
439,358.4262,547.24274,451.01486,0.0
440,438.85724,485.16138,417.77707,0.0
441,564.7777,114.98156,451.3864,0.0
442,393.75247,550.0,488.52026,0.0
443,259.40186,150.73135,310.93533,0.0
444,344.94638,493.39948,444.1246,0.0
445,494.44455,153.03888,522.65735,0.0
446,462.22467,65.27104,333.19266,0.0
447,321.78366,131.39586,497.15283,0.0
448,340.84863,515.673,490.18478,0.0
449,195.44424,245.06772,152.0993,0.0
450,287.28198,458.1709,477.57724,0.0
451,570.6773,204.24663,517.53687,0.0
452,332.19952,73.885376,488.2042,0.0
453,482.35794,502.13464,344.5226,0.0
454,266.5193,516.9844,511.7889,0.0
455,267.56058,434.76782,483.60837,0.0
456,398.03168,57.654964,395.85507,0.0
457,238.798,442.78427,83.39838,0.0
458,323.51947,101.908745,290.3977,0.0
459,422.1094,62.70503,281.80408,0.0
460,219.00868,425.71008,515.5973,0.0
461,534.8766,178.19255,402.0955,0.0
462,296.72403,100.05936,440.79572,0.0
463,593.45105,380.7578,309.50217,0.0
464,484.4288,490.6433,472.8255,0.0
465,381.42285,77.96663,445.81213,0.0
466,314.04388,121.05719,356.07925,0.0
467,630.89246,232.26736,528.28735,0.0
468,195.10762,402.49615,463.0651,0.0
469,311.0388,107.306625,461.66882,0.0
470,176.64365,270.97952,383.48892,0.0
471,460.7678,118.10659,540.5764,0.0
472,285.7154,482.88956,490.34732,0.0
473,479.83716,139.25467,482.901,0.0
474,525.91943,132.48343,507.76126,0.0
475,459.94574,539.4448,464.42685,0.0
476,526.26245,96.73048,388.59427,0.0
477,464.88025,526.79346,418.02426,0.0
478,212.375,181.34595,396.1812,0.0
479,396.66168,79.56276,514.15405,0.0
480,616.24036,382.83588,421.55386,0.0
481,557.5415,460.61926,227.45221,0.0
482,571.0026,421.6036,505.32474,0.0
483,500.05124,457.15796,388.76758,0.0
484,320.9933,134.42107,405.64453,0.0
485,431.74905,508.0201,507.08197,0.0
486,257.17004,166.76631,250.75752,0.0
487,424.60925,57.870365,508.6951,0.0
488,258.48615,431.62073,363.29813,0.0
489,277.9571,131.84244,507.84283,0.0
490,344.80225,92.5862,368.1351,0.0
491,650.0,306.5863,425.2919,0.0
492,201.13168,427.99765,422.77124,0.0
493,471.30685,518.69714,420.42627,0.0
494,223.60416,447.2522,420.80695,0.0
495,233.16148,165.23636,423.2541,0.0
496,449.46454,499.68848,428.78802,0.0
497,220.17134,429.91425,453.0515,0.0
498,218.9408,479.31375,384.07126,0.0
499,231.76543,452.60806,516.2367,0.0
500,333.6039,186.62688,490.57407,1.0
501,463.84036,252.01247,480.5624,1.0
502,305.37497,203.71829,547.0564,1.0
503,292.95752,264.8816,502.57886,1.0
504,492.3553,231.9014,495.41678,1.0
505,462.77756,204.65897,514.3131,1.0
506,375.30713,187.55104,381.21826,1.0
507,350.3795,196.20163,272.9773,1.0
508,431.48242,391.1934,516.7224,1.0
509,320.22623,232.27946,520.4413,1.0
510,325.10898,213.83284,311.9011,1.0
511,428.55002,212.18814,545.2901,1.0
512,275.4606,353.25406,365.18475,1.0
513,506.83994,249.8202,453.24243,1.0
514,308.8464,398.88354,428.88834,1.0
515,490.29633,387.58896,364.01035,1.0
516,298.80466,323.9854,382.5371,1.0
517,399.10892,416.40958,449.02377,1.0
518,327.85086,237.25914,377.47568,1.0
519,412.57443,199.36488,493.30667,1.0
520,264.55618,251.82164,371.2228,1.0
521,301.2826,405.17984,498.95676,1.0
522,474.73697,270.85815,469.38226,1.0
523,393.15344,423.2523,294.73602,1.0
524,300.4833,363.17117,545.6971,1.0
525,400.0426,430.7276,476.77243,1.0
526,498.34244,379.02255,454.6355,1.0
527,341.38583,195.34239,519.8519,1.0
528,478.13007,241.51628,434.46127,1.0
529,335.82825,386.8757,485.92215,1.0
530,272.02042,235.85477,446.51157,1.0
531,388.6411,188.68199,490.11813,1.0
532,481.1407,286.4764,499.8715,1.0
533,481.74564,367.43787,480.09695,1.0
534,377.60602,205.37035,369.29312,1.0
535,397.98914,434.07642,487.89862,1.0
536,488.8171,326.10287,305.6223,1.0
537,423.76105,197.18631,445.3341,1.0
538,394.46533,197.91641,502.20044,1.0
539,524.3333,306.53073,466.11884,1.0
540,495.3301,303.44415,424.94138,1.0
541,275.46994,352.35553,312.39203,1.0
542,497.9236,222.84322,500.7773,1.0
543,478.4432,366.192,480.10046,1.0
544,442.1082,404.39383,528.00806,1.0
545,502.4601,236.51718,437.24716,1.0
546,280.37067,327.25977,445.92267,1.0
547,374.27066,436.11496,438.5315,1.0
548,460.32834,403.34622,489.66183,1.0
549,292.914,383.5136,428.5445,1.0
550,343.14468,207.87962,459.7412,1.0
551,342.7591,184.57921,377.89813,1.0
552,349.11853,199.63496,373.14853,1.0
553,389.4314,393.17117,427.28064,1.0
554,403.88092,406.9935,503.26514,1.0
555,275.3773,253.94495,480.6505,1.0
556,301.74173,208.28943,542.0846,1.0
557,432.20392,219.86351,473.3237,1.0
558,326.57703,373.18,474.93762,1.0
559,293.3847,337.82907,323.46463,1.0
560,518.3728,291.50745,406.82114,1.0
561,277.8886,363.04263,372.54837,1.0
562,502.9993,308.93924,425.7652,1.0
563,376.90036,198.36205,412.38354,1.0
564,290.78427,268.73654,433.39066,1.0
565,316.83655,207.60179,493.29236,1.0
566,255.66466,308.62433,481.82074,1.0
567,407.5207,401.80997,519.34705,1.0
568,490.68033,360.51004,515.84375,1.0
569,331.4069,198.68388,482.67175,1.0
570,278.9994,226.87895,528.9524,1.0
571,526.45105,289.15613,476.54196,1.0
572,297.46362,247.4262,453.1572,1.0
573,404.80795,411.5497,393.225,1.0
574,303.49536,349.62885,411.30334,1.0
575,401.38416,205.25844,527.4243,1.0
576,323.33884,376.58212,405.36502,1.0
577,265.53937,302.76123,346.315,1.0
578,298.7307,389.78848,523.44604,1.0
579,394.81528,409.66776,512.57825,1.0
580,345.7959,396.58234,474.61975,1.0
581,438.53888,183.5778,391.19708,1.0
582,376.049,184.09164,546.3457,1.0
583,520.2378,323.9087,464.4307,1.0
584,302.33707,201.2583,477.71976,1.0
585,277.1954,241.36223,475.98328,1.0
586,286.27945,225.9779,412.25638,1.0
587,477.2946,254.26767,466.305,1.0
588,320.76868,369.5386,475.50418,1.0
589,344.42505,416.82047,533.98254,1.0
590,498.64343,233.83063,437.14105,1.0
591,496.7812,346.38583,545.07764,1.0
592,473.01056,229.27075,483.12775,1.0
593,356.15674,425.48627,422.03912,1.0
594,392.0451,397.61,445.03146,1.0
595,447.76703,389.5227,501.83646,1.0
596,275.91336,298.95917,367.72614,1.0
597,338.05328,216.27727,508.3713,1.0
598,511.6299,297.24463,451.85333,1.0
599,409.56567,401.91718,390.3246,1.0
