label,x,y,population
Bromley,542896.0,37885.0,314660.0
Richmond_upon_Thames,517387.0,30663.0,189145.0
Hillingdon,507890.0,19888.0,281756.0
Havering,554005.0,16290.0,239733.0
Kingston_upon_Thames,519297.0,36723.0,163906.0
Sutton,526976.0,39409.0,193630.0
Hounslow,513583.0,27883.0,259052.0
Merton,525475.0,34120.0,202225.0
Wandsworth,526129.0,29427.0,308312.0
Croydon,533290.0,40000.0,368886.0
Lambeth,530840.0,29104.0,310200.0
Southwark,533855.0,26754.0,293530.0
Lewisham,537667.0,29539.0,281556.0
Greenwich,542857.0,26489.0,260068.0
Ealing,515888.0,21826.0,340671.0
Hammersmith_and_Fulham,523609.0,24700.0,179850.0
Brent,520177.0,17712.0,314660.0
Harrow,514987.0,13474.0,242377.0
Barnet,524027.0,11225.0,363956.0
Islington,531129.0,18563.0,211047.0
Hackney,534370.0,18055.0,252119.0
Newham,541444.0,20692.0,314084.0
Barking_and_Dagenham,548021.0,18601.0,190560.0
Haringey,531199.0,13898.0,258912.0
Enfield,532423.0,7120.0,317287.0
Waltham_Forest,537758.0,13317.0,262566.0
Redbridge,543915.0,14078.0,284617.0
Bexley,548928.0,27820.0,234271.0
Kensington_and_Chelsea,525575.0,23961.0,155930.0
Westminster,527746.0,22547.0,223858.0
Camden,527865.0,18878.0,224962.0
Tower_Hamlets,536468.0,22065.0,263003.0
City_of_London,532464.0,22321.0,7604.0
