label,x,y,population
Bromley,542896.0,165656.0,317400.0
Richmond_upon_Thames,517387.0,172878.0,191300.0
Hillingdon,507890.0,183653.0,287500.0
Havering,554005.0,187251.0,242600.0
Kingston_upon_Thames,519297.0,166818.0,166400.0
Sutton,526976.0,164132.0,196400.0
Hounslow,513583.0,175658.0,264300.0
Merton,525475.0,169421.0,205400.0
Wandsworth,526129.0,174114.0,311800.0
Croydon,533290.0,163541.0,373100.0
Lambeth,530840.0,174437.0,313800.0
Southwark,533855.0,176787.0,298400.0
Lewisham,537667.0,174002.0,286000.0
Greenwich,542857.0,177052.0,262800.0
Ealing,515888.0,181715.0,344900.0
Hammersmith_and_Fulham,523609.0,178841.0,181000.0
Brent,520177.0,185829.0,320200.0
Harrow,514987.0,190067.0,245900.0
Barnet,524027.0,192316.0,370000.0
Islington,531129.0,184978.0,215900.0
Hackney,534370.0,185486.0,256600.0
Newham,541444.0,182849.0,323400.0
Barking_and_Dagenham,548021.0,184940.0,195600.0
Haringey,531199.0,189643.0,263100.0
Enfield,532423.0,196421.0,322400.0
Waltham_Forest,537758.0,190224.0,267100.0
Redbridge,543915.0,189463.0,289900.0
Bexley,548928.0,175721.0,236500.0
Kensington_and_Chelsea,525575.0,179580.0,155700.0
Westminster,527746.0,180994.0,226600.0
Camden,527865.0,184663.0,228400.0
Tower_Hamlets,536468.0,181476.0,271100.0
City of_London,532464.0,181220.0,8000.0
